Tỉnh thành[a],CaNhiem,Tử vong,Ca mắc mới,No,,,,,,
Hà Nội,1.646.923,1.232,2,1,Hà Nội,3358.6,7520.7,2239,"34,33",1.491
TP. Hồ Chí Minh,629.018,19.985,3,2,Hà Giang,7929.5,846.5,107,"134,40",5.837
Hải Phòng,537.527,138,5,4,Cao Bằng,6700.3,540.4,81,"52,10",2.23
Nghệ An,502.049,145,11,6,Bắc Kạn,4860,327.9,67,"30,00",1.303
Bắc Giang,391.44,92,0,8,Tuyên Quang,5867.9,780.1,133,"42,05",1.826
Vĩnh Phúc,375.686,19,0,10,Lào Cai,6364,705.6,111,"150,10",6.519
Hải Dương,372.391,117,5,11,Điện Biên,9541.2,576.7,60,"33,00",1.433
Quảng Ninh,356.404,150,7,12,Lai Châu,9068.8,456.3,50,"48,69",2.115
Bắc Ninh,353.869,136,0,14,Sơn La,14123.5,1242.7,88,"130,80",5.681
Thái Nguyên,347.519,112,1,15,Yên Bái,6887.7,815.6,118,"58,03",2.52
Phú Thọ,331.52,97,4,17,Hoà Bình,4590.6,846.1,184,"50,31",2.215
Bình Dương,325.667,3.519,4,19,Thái Nguyên,3526.6,1268.3,360,"43,29",1.88
Nam Định,301.101,150,1,20,Lạng Sơn,8310.1,790.5,95,"80,50",3.496
Thái Bình,296.789,23,0,22,Quảng Ninh,6178.2,1266.5,205,"26,70",1.16
Hưng Yên,244.028,5,2,24,Bắc Giang,3895.6,1691.8,434,"83,16",3.612
Hoà Bình,239.941,102,1,25,Phú Thọ,3534.6,1404.2,397,"41,00",1.781
Lào Cai,188.846,38,0,26,Vĩnh Phúc,1235.2,1092.4,884,"45,24",1.965
Thanh Hóa,178.595,109,2,27,Bắc Ninh,822.7,1247.5,1516,"27,31",1.186
Đắk Lắk,172.439,201,0,30,Hải Dương,1668.2,1807.5,1083,"97,30",4.226
Lạng Sơn,160.752,85,0,31,Hải Phòng,1561.8,2013.8,1289,"40,00",1.737
Yên Bái,158.046,13,6,33,Hưng Yên,930.2,1188.9,1278,"45,36",1.97
Sơn La,153.602,0,8,34,Thái Bình,1586.4,1793.2,1130,"20,70",899
Cà Mau,147.734,357,2,35,Hà Nam,861.9,808.2,938,"55,20",2.397
Tuyên Quang,147.582,14,0,36,Nam Định,1668.5,1854.4,1111,"93,94",4.08
Tây Ninh,140.444,944,0,37,Ninh Bình,1386.8,973.3,702,"49,50",2.15
Bình Định,139.89,281,6,38,Thanh Hóa,11114.6,3558.2,320,"56,30",2.445
Quảng Bình,129.648,74,13,40,Nghệ An,16481.6,3157.1,192,"97,10",4.217
Hà Giang,122.61,80,0,42,Hà Tĩnh,5990.7,1277.5,213,"38,32",1.664
Khánh Hòa,122.036,364,4,44,Quảng Bình,8000,887.6,111,"154,84",6.725
Bình Phước,120.003,224,1,45,Quảng Trị,4621.7,630.6,136,"48,30",2.098
Bà Rịa - Vũng Tàu,110.822,497,2,46,Thừa Thiên Huế,4902.4,1163.6,237,"55,30",2.402
Đà Nẵng,108.712,338,0,48,Đà Nẵng,1284.9,1080.7,841,"62,13",2.698
Đồng Nai,107.518,1.903,0,49,Quảng Nam,10574.7,1501.1,142,"48,21",2.094
Ninh Bình,104.8,93,0,51,Quảng Ngãi,5155.8,1272.8,247,"37,49",1.628
Vĩnh Long,103.505,829,0,52,Bình Định,6066.2,1534.8,253,"33,00",1.433
Bến Tre,99.799,490,0,54,Phú Yên,5023.4,909.5,181,"59,74",2.595
Cao Bằng,99.051,59,3,56,Khánh Hòa,5137.8,1232.4,240,"38,40",1.668
Lâm Đồng,98.238,141,0,58,Ninh Thuận,3355.3,611.8,182,"61,84",2.686
Hà Nam,91.467,65,3,60,Bình Thuận,7943.9,1239.2,156,"68,62",2.98
Điện Biên,90.757,23,26,62,Kon Tum,9674.2,535,55,"52,00",2.258
Quảng Trị,86.293,38,3,64,Gia Lai,15511,1458.5,94,"36,64",1.591
Bắc Kạn,77.048,19,2,66,Đắk Lắk,13030.5,1919.2,147,"48,50",2.106
Cần Thơ,76.925,958,0,67,Đắk Nông,6509.3,645.4,99,"39,70",1.724
Lai Châu,75.519,0,1,68,Lâm Đồng,9783.3,1312.9,134,"38,50",1.672
Trà Vinh,75.174,115,0,70,Bình Phước,6876.8,979.6,142,"39,97",1.736
Đắk Nông,73.427,47,0,72,Tây Ninh,4041.3,1133.4,280,"37,50",1.628
Gia Lai,70.961,116,0,74,Bình Dương,2694.6,2163.6,803,"61,07",2.652
Hà Tĩnh,55.279,50,0,75,Đồng Nai,5863.6,3086.1,526,"57,80",2.51
Bình Thuận,54.3,482,0,77,Bà Rịa - Vũng Tàu,1981,1112.9,562,"117,66",5.11
Đồng Tháp,51.614,1.007,6,79,Hồ Chí Minh,2061.4,8598.7,4171,"43,60",1.894
Quảng Ngãi,50.513,127,0,80,Long An,4494.9,1503.1,334,"37,50",1.629
Long An,50.297,1.088,0,82,Tiền Giang,2510.6,1762.3,702,"38,00",1.65
Quảng Nam,49.556,150,0,83,Bến Tre,2394.8,1268.2,530,"62,79",2.727
Thừa Thiên Huế,48.186,173,6,84,Trà Vinh,2358.3,1049.8,445,"38,00",1.65
Bạc Liêu,46.949,470,0,86,Vĩnh Long,1525.7,1051.8,689,"77,70",3.375
Phú Yên,44.481,137,0,87,Đồng Tháp,3383.8,1693.3,500,"41,10",1.785
Kiên Giang,43.659,1.027,0,89,An Giang,3536.7,2164.2,612,"42,36",1.839
An Giang,43.297,1.325,0,91,Kiên Giang,6348.8,1810.5,285,"46,90",2.037
Tiền Giang,39.902,1.29,0,92,Cần Thơ,1439,1282.3,891,"44,00",1.911
Sóc Trăng,34.457,634,0,93,Hậu Giang,1621.7,776.7,479,"36,00",1.564
Kon Tum,26.342,1,0,94,Sóc Trăng,3311.9,1315.9,397,"44,80",1.946
Hậu Giang,17.9,231,0,95,Bạc Liêu,2669,897,336,"86,50",3.757
Ninh Thuận,9.001,60,0,96,Cà Mau,5221.2,1229.6,236,"33,60",1.459
