ma,Tỉnh thành[a],CaNhiem,dead,Ca mắc mới,No,
1,Hà Nội,1646923,1.232,2,1,Hà Nội
79,TP. Hồ Chí Minh,629018,19.985,3,2,Hà Giang
31,Hải Phòng,537527,138,5,4,Cao Bằng
40,Nghệ An,502049,145,11,6,Bắc Kạn
24,Bắc Giang,39144,92,0,8,Tuyên Quang
26,Vĩnh Phúc,375686,19,0,10,Lào Cai
30,Hải Dương,372391,117,5,11,Điện Biên
22,Quảng Ninh,356404,150,7,12,Lai Châu
27,Bắc Ninh,353869,136,0,14,Sơn La
19,Thái Nguyên,347519,112,1,15,Yên Bái
25,Phú Thọ,33152,97,4,17,Hoà Bình
74,Bình Dương,325667,3.519,4,19,Thái Nguyên
36,Nam Định,301101,150,1,20,Lạng Sơn
34,Thái Bình,296789,23,0,22,Quảng Ninh
33,Hưng Yên,244028,5,2,24,Bắc Giang
17,Hoà Bình,239941,102,1,25,Phú Thọ
10,Lào Cai,188846,38,0,26,Vĩnh Phúc
38,Thanh Hóa,178595,109,2,27,Bắc Ninh
66,Đắk Lắk,172439,201,0,30,Hải Dương
20,Lạng Sơn,160752,85,0,31,Hải Phòng
15,Yên Bái,158046,13,6,33,Hưng Yên
14,Sơn La,153602,0,8,34,Thái Bình
96,Cà Mau,147734,357,2,35,Hà Nam
8,Tuyên Quang,147582,14,0,36,Nam Định
72,Tây Ninh,140444,944,0,37,Ninh Bình
52,Bình Định,139890,281,6,38,Thanh Hóa
44,Quảng Bình,129648,74,13,40,Nghệ An
2,Hà Giang,122610,80,0,42,Hà Tĩnh
56,Khánh Hòa,122036,364,4,44,Quảng Bình
70,Bình Phước,120003,224,1,45,Quảng Trị
77,Bà Rịa - Vũng Tàu,110822,497,2,46,Thừa Thiên Huế
48,Đà Nẵng,108712,338,0,48,Đà Nẵng
75,Đồng Nai,107518,1.903,0,49,Quảng Nam
37,Ninh Bình,104800,93,0,51,Quảng Ngãi
86,Vĩnh Long,103505,829,0,52,Bình Định
83,Bến Tre,99799,490,0,54,Phú Yên
4,Cao Bằng,99051,59,3,56,Khánh Hòa
68,Lâm Đồng,98238,141,0,58,Ninh Thuận
35,Hà Nam,91467,65,3,60,Bình Thuận
11,Điện Biên,90757,23,26,62,Kon Tum
45,Quảng Trị,86293,38,3,64,Gia Lai
6,Bắc Kạn,77048,19,2,66,Đắk Lắk
92,Cần Thơ,76925,958,0,67,Đắk Nông
12,Lai Châu,75519,0,1,68,Lâm Đồng
84,Trà Vinh,75174,115,0,70,Bình Phước
67,Đắk Nông,73427,47,0,72,Tây Ninh
64,Gia Lai,70961,116,0,74,Bình Dương
42,Hà Tĩnh,55279,50,0,75,Đồng Nai
60,Bình Thuận,54300,482,0,77,Bà Rịa - Vũng Tàu
87,Đồng Tháp,51614,1.007,6,79,Hồ Chí Minh
51,Quảng Ngãi,50513,127,0,80,Long An
80,Long An,50297,1.088,0,82,Tiền Giang
49,Quảng Nam,49556,150,0,83,Bến Tre
46,Thừa Thiên Huế,48186,173,6,84,Trà Vinh
95,Bạc Liêu,46949,470,0,86,Vĩnh Long
54,Phú Yên,44481,137,0,87,Đồng Tháp
91,Kiên Giang,43659,1.027,0,89,An Giang
89,An Giang,43297,1.325,0,91,Kiên Giang
82,Tiền Giang,39902,1.29,0,92,Cần Thơ
94,Sóc Trăng,34457,634,0,93,Hậu Giang
62,Kon Tum,26342,1,0,94,Sóc Trăng
93,Hậu Giang,17900,231,0,95,Bạc Liêu
58,Ninh Thuận,9001,60,0,96,Cà Mau
